Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,communityBonus,penalty,dvp,value,O/U,odds,Final
PG,Dejounte Murray,3700,SA@Cle 08:30PM ET,6.405,SA,0,0,5.143,2.000,13.688,0.000,-0.014,18.000,22.200,211.500,2.500,24.500
SG,Manu Ginobili,3700,SA@Cle 08:30PM ET,18.181,SA,0,0,19.679,12.679,18.938,0.000,-0.039,28.000,22.200,211.500,2.500,15.500
SG/SF,Thabo Sefolosha,3600,Phi@Atl 07:00PM ET,19.781,ATL,1,0,16.857,12.632,15.062,0.000,-6.428,19.000,21.600,198.500,-10.000,15.750
PG,Spencer Dinwiddie,3600,Bkn@Cha 07:00PM ET,13.921,BKN,0,0,18.214,6.556,16.625,0.000,-1.499,19.000,21.600,221.500,12.000,9.250
SG,Nik Stauskas,3500,Phi@Atl 07:00PM ET,16.449,PHI,0,0,16.536,10.963,10.625,0.000,-5.345,24.000,21.000,198.500,10.000,21.000
SG,Reggie Bullock,3500,Was@Det 06:00PM ET,12.357,DET,1,0,13.938,5.438,14.062,0.000,-1112.565,10.000,21.000,208.000,-1.000,17.750
SF,Omri Casspi,3500,Sac@Chi 09:00PM ET,13.614,SAC,0,1,16.964,7.100,9.062,0.000,-1374.522,10.000,21.000,205.000,6.500,0.000
PF/C,Spencer Hawes,3500,Bkn@Cha 07:00PM ET,16.258,CHA,1,0,11.321,9.235,20.062,0.000,-1.751,29.500,21.000,221.500,-12.000,0.000
C,John Henson,3500,Mil@Mia 07:30PM ET,18.006,MIL,0,0,12.429,11.643,18.312,0.000,-0.974,18.000,21.000,206.000,1.500,23.250
SG,J.R. Smith,3500,SA@Cle 08:30PM ET,17.321,CLE,1,1,17.750,11.300,19.688,0.000,-1745.269,23.000,21.000,211.500,-2.500,0.000
SG,Danny Green,3500,SA@Cle 08:30PM ET,17.750,SA,0,0,16.214,10.786,16.562,0.000,-0.038,28.000,21.000,211.500,2.500,12.500
PG,Brandon Jennings,3500,Pho@NY 07:30PM ET,20.307,NY,1,0,14.857,13.054,17.125,0.000,2.066,26.500,21.000,222.500,-5.500,2.750
PG,Jerian Grant,3400,Sac@Chi 09:00PM ET,11.022,CHI,1,0,12.107,4.667,15.312,0.000,-2.905,22.000,20.400,205.000,-6.500,0.000
PG,Ramon Sessions,3400,Bkn@Cha 07:00PM ET,13.308,CHA,1,0,12.857,9.641,13.938,0.000,-1.433,30.000,20.400,221.500,-12.000,23.500
SG/SF,Caris LeVert,3400,Bkn@Cha 07:00PM ET,14.761,BKN,0,0,16.821,8.596,21.188,0.000,-1.590,18.750,20.400,221.500,12.000,19.750
PF/C,Justin Hamilton,3400,Bkn@Cha 07:00PM ET,16.682,BKN,0,0,19.607,10.472,18.062,0.000,-1.796,17.500,20.400,221.500,12.000,0.000
SG/SF,Vince Carter,3400,Hou@Mem 08:00PM ET,17.816,MEM,1,0,17.500,12.762,17.812,0.000,0.635,26.250,20.400,215.500,1.500,14.750
SF/PF,Sam Dekker,3400,Hou@Mem 08:00PM ET,15.598,HOU,0,0,16.179,10.615,19.875,0.000,-1403.264,5.500,20.400,215.500,-1.500,42.000
C,Alex Len,3400,Pho@NY 07:30PM ET,20.444,PHO,0,0,15.607,13.571,11.562,0.000,-17.125,26.000,20.400,222.500,5.500,9.250
SG/SF,Joe Johnson,3400,Ind@Uta 09:00PM ET,15.733,UTA,1,0,8.286,8.225,14.812,0.000,-4.889,19.750,20.400,200.000,-7.500,9.000
PF/C,Kris Humphries,3300,Phi@Atl 07:00PM ET,11.176,ATL,1,0,9.964,5.083,19.938,0.000,-3.632,16.500,19.800,198.500,-10.000,18.250
PG,Isaiah Whitehead,3300,Bkn@Cha 07:00PM ET,15.875,BKN,0,0,15.857,11.250,13.438,0.000,-1.710,19.000,19.800,221.500,12.000,13.250
PG/SG,Matthew Dellavedova,3300,Mil@Mia 07:30PM ET,19.115,MIL,0,0,14.250,13.079,9.438,0.000,-1736.187,6.000,19.800,206.000,1.500,28.500
SF,Tony Snell,3300,Mil@Mia 07:30PM ET,16.341,MIL,0,0,12.036,10.955,13.188,0.000,-1482.872,8.500,19.800,206.000,1.500,11.000
SG,Courtney Lee,3300,Pho@NY 07:30PM ET,18.564,NY,1,0,15.643,12.833,17.312,0.000,1.889,15.000,19.800,222.500,-5.500,26.000
SG,Justin Holiday,3300,Pho@NY 07:30PM ET,14.938,NY,1,0,12.036,9.040,20.875,0.000,1.520,15.000,19.800,222.500,-5.500,6.000
SG,Monta Ellis,3300,Ind@Uta 09:00PM ET,19.279,IND,0,0,12.857,11.958,14.812,0.000,-1741.101,1.000,19.800,200.000,7.500,25.000
SF,Chandler Parsons,3200,Hou@Mem 08:00PM ET,11.944,MEM,1,1,12.042,7.143,13.562,1.194,-1193.855,26.000,19.200,215.500,1.500,27.000
PG/SG,Brandon Knight,3200,Pho@NY 07:30PM ET,19.564,PHO,0,0,17.286,12.463,10.625,0.000,-16.181,20.000,19.200,222.500,5.500,22.250
PG/SG,Ron Baker,3200,Pho@NY 07:30PM ET,8.632,NY,1,0,9.357,3.727,11.312,0.000,0.878,20.750,19.200,222.500,-5.500,10.750
PF,Marquese Chriss,3200,Pho@NY 07:30PM ET,14.292,PHO,0,0,14.000,9.217,14.438,0.000,1.454,21.000,19.200,222.500,5.500,29.750
SF,C.J. Miles,3200,Ind@Uta 09:00PM ET,18.188,IND,0,0,16.786,11.375,15.125,0.000,-1642.572,1.000,19.200,200.000,7.500,13.500
PG,Malcolm Delaney,3100,Phi@Atl 07:00PM ET,13.157,ATL,1,0,15.786,7.361,17.062,0.000,-1188.405,12.500,18.600,198.500,-10.000,16.500
PG/SG,Jamal Murray,3100,LAC@Den 09:00PM ET,15.140,DEN,1,0,7.286,8.310,11.750,0.000,-1361.059,5.000,18.600,222.500,-5.000,11.750
SF,James Ennis III,3100,Hou@Mem 08:00PM ET,17.613,MEM,1,0,12.643,11.233,17.812,0.000,0.628,26.000,18.600,215.500,1.500,8.250
SF,Wayne Ellington,3100,Mil@Mia 07:30PM ET,17.272,MIA,1,0,17.750,10.396,12.312,0.000,-17.098,29.000,18.600,206.000,-1.500,26.750
C,Al Jefferson,3100,Ind@Uta 09:00PM ET,16.286,IND,0,0,19.429,11.269,19.750,0.000,-1470.801,2.000,18.600,200.000,7.500,15.500
PG,Chasson Randle,3000,Phi@Atl 07:00PM ET,11.250,PHI,0,0,11.250,5.500,11.250,0.000,-3.656,23.500,18.000,198.500,10.000,3.000
SG/SF,Timothe Luwawu-Cabarrot,3000,Phi@Atl 07:00PM ET,5.982,PHI,0,0,7.179,2.125,10.938,0.000,-1.944,23.500,18.000,198.500,10.000,13.000
SF,Mike Dunleavy,3000,Phi@Atl 07:00PM ET,10.143,ATL,1,0,13.536,5.641,13.875,0.000,-3.296,21.000,18.000,198.500,-10.000,10.000
SF,Taurean Prince,3000,Phi@Atl 07:00PM ET,7.894,ATL,1,0,6.393,2.446,4.125,0.000,-2.565,21.000,18.000,198.500,-10.000,0.000
SF,DeAndre' Bembry,3000,Phi@Atl 07:00PM ET,4.618,ATL,1,0,2.643,2.125,6.125,0.000,-1.501,21.000,18.000,198.500,-10.000,0.000
PF/C,Mike Muscala,3000,Phi@Atl 07:00PM ET,16.594,ATL,1,1,10.286,9.344,11.375,0.000,-1676.559,16.500,18.000,198.500,-10.000,0.000
PF,Mike Scott,3000,Phi@Atl 07:00PM ET,8.295,ATL,1,0,10.917,3.650,5.875,0.000,-749.245,6.000,18.000,198.500,-10.000,1.250
PG,Shabazz Napier,3000,Por@Bos 05:00PM ET,7.232,POR,0,0,8.500,2.650,5.125,0.000,-5.215,20.000,18.000,218.000,8.000,0.000
PG,Tim Quarterman,3000,Por@Bos 05:00PM ET,3.250,POR,0,0,3.357,1.750,1.750,0.000,-0.457,20.000,18.000,218.000,8.000,0.000
PG,Demetrius Jackson,3000,Por@Bos 05:00PM ET,5.000,BOS,1,0,7.625,1.583,5.000,0.000,-450.704,10.500,18.000,218.000,-8.000,0.000
PG,Terry Rozier,3000,Por@Bos 05:00PM ET,13.858,BOS,1,0,11.393,8.287,12.438,0.000,-1249.170,10.500,18.000,218.000,-8.000,24.250
SG,Gerald Green,3000,Por@Bos 05:00PM ET,10.000,BOS,1,0,10.500,4.661,5.125,0.000,-908.941,9.000,18.000,218.000,-8.000,0.000
SG,James Young,3000,Por@Bos 05:00PM ET,3.523,BOS,1,1,2.500,0.594,2.125,0.000,-352.761,9.000,18.000,218.000,-8.000,0.000
SF,Pat Connaughton,3000,Por@Bos 05:00PM ET,3.345,POR,0,0,3.714,1.227,4.938,0.000,-0.471,17.500,18.000,218.000,8.000,0.000
SF,Jaylen Brown,3000,Por@Bos 05:00PM ET,9.390,BOS,1,0,9.929,4.729,10.500,0.000,-1.322,23.000,18.000,218.000,-8.000,10.500
PF/C,Meyers Leonard,3000,Por@Bos 05:00PM ET,11.853,POR,0,0,7.679,5.310,12.312,0.000,-1.668,22.750,18.000,218.000,8.000,24.500
PF,Jonas Jerebko,3000,Por@Bos 05:00PM ET,11.125,BOS,1,1,10.000,6.310,9.000,0.000,-1113.955,30.000,18.000,218.000,-8.000,0.000
PF,Jake Layman,3000,Por@Bos 05:00PM ET,4.348,POR,0,0,2.321,1.516,3.750,0.000,-0.612,25.000,18.000,218.000,8.000,0.000
PF,Jordan Mickey,3000,Por@Bos 05:00PM ET,5.886,BOS,1,0,5.625,2.600,6.188,0.000,-0.828,30.000,18.000,218.000,-8.000,7.250
PF,Noah Vonleh,3000,Por@Bos 05:00PM ET,9.122,POR,0,0,9.964,4.333,16.188,0.000,-1.284,25.000,18.000,218.000,8.000,20.500
C,Ed Davis,3000,Por@Bos 05:00PM ET,12.726,POR,0,1,8.250,6.714,10.125,0.000,-1274.264,20.500,18.000,218.000,8.000,0.000
C,Tyler Zeller,3000,Por@Bos 05:00PM ET,10.454,BOS,1,1,3.893,3.650,3.125,0.000,-1046.767,28.000,18.000,218.000,-8.000,0.000
PG,Malik Beasley,3000,LAC@Den 09:00PM ET,4.545,DEN,1,0,4.857,0.821,5.188,0.000,-408.587,2.500,18.000,222.500,-5.000,2.000
SG,Mike Miller,3000,LAC@Den 09:00PM ET,4.607,DEN,1,0,5.438,1.312,4.188,0.000,-414.161,7.500,18.000,222.500,-5.000,7.250
SG,Alan Anderson,3000,LAC@Den 09:00PM ET,5.406,LAC,0,0,7.750,2.450,6.125,0.000,0.550,29.000,18.000,222.500,5.000,5.500
SF,Paul Pierce,3000,LAC@Den 09:00PM ET,6.917,LAC,0,0,9.542,3.500,6.938,0.000,0.704,19.500,18.000,222.500,5.000,0.000
SF,Wesley Johnson,3000,LAC@Den 09:00PM ET,10.304,LAC,0,0,11.179,5.475,10.125,0.000,1.049,19.500,18.000,222.500,5.000,10.750
PF,Brandon Bass,3000,LAC@Den 09:00PM ET,10.080,LAC,0,0,11.500,5.167,12.688,0.000,-906.174,11.500,18.000,222.500,5.000,8.750
PF,Darrell Arthur,3000,LAC@Den 09:00PM ET,11.176,DEN,1,1,12.000,5.611,16.125,0.000,-1116.351,4.000,18.000,222.500,-5.000,12.000
C,Jusuf Nurkic,3000,LAC@Den 09:00PM ET,20.507,DEN,1,0,12.786,11.562,6.688,0.000,-1867.154,9.000,18.000,222.500,-5.000,22.750
PG/SG,Tomas Satoransky,3000,Was@Det 06:00PM ET,9.917,WAS,0,0,6.036,4.891,16.188,0.000,-0.349,14.500,18.000,208.000,1.000,-0.500
PG,Beno Udrih,3000,Was@Det 06:00PM ET,13.278,DET,1,0,16.250,7.929,9.062,0.000,-1204.245,4.000,18.000,208.000,-1.000,0.000
PG,Trey Burke,3000,Was@Det 06:00PM ET,8.270,WAS,0,0,6.536,4.477,8.875,0.000,-0.291,23.500,18.000,208.000,1.000,12.500
SG,Darrun Hilliard,3000,Was@Det 06:00PM ET,6.413,DET,1,0,6.036,2.554,4.750,0.000,-577.396,10.000,18.000,208.000,-1.000,0.000
SG,Sheldon McClellan,3000,Was@Det 06:00PM ET,7.500,WAS,0,0,12.214,2.500,5.062,0.000,-675.264,5.500,18.000,208.000,1.000,2.500
SF,Marcus Thornton,3000,Was@Det 06:00PM ET,12.712,WAS,0,0,9.500,6.875,13.688,0.000,-1153.646,4.500,18.000,208.000,1.000,0.000
SF,Michael Gbinije,3000,Was@Det 06:00PM ET,1.344,DET,1,1,1.100,0.625,1.500,0.000,-134.434,16.000,18.000,208.000,-1.000,0.000
PF/C,Jason Smith,3000,Was@Det 06:00PM ET,9.881,WAS,0,0,11.250,6.074,15.188,0.000,-889.638,8.250,18.000,208.000,1.000,24.000
PF,Henry Ellenson,3000,Was@Det 06:00PM ET,2.964,DET,1,0,2.429,1.361,4.750,0.000,-0.104,23.500,18.000,208.000,-1.000,0.000
C,Andrew Nicholson,3000,Was@Det 06:00PM ET,5.840,WAS,0,0,9.250,2.300,5.062,0.000,-525.806,5.000,18.000,208.000,1.000,0.000
C,Boban Marjanovic,3000,Was@Det 06:00PM ET,9.842,DET,1,0,11.821,2.841,14.938,0.000,-886.127,9.000,18.000,208.000,-1.000,2.750
C,Daniel Ochefu,3000,Was@Det 06:00PM ET,3.025,WAS,0,0,3.667,1.042,5.375,0.000,-272.357,5.000,18.000,208.000,1.000,0.000
PG,Isaiah Canaan,3000,Sac@Chi 09:00PM ET,10.768,CHI,1,0,7.179,5.703,3.312,0.000,-11.014,22.000,18.000,205.000,-6.500,0.000
SG/SF,Denzel Valentine,3000,Sac@Chi 09:00PM ET,7.611,CHI,1,0,7.607,2.922,15.125,0.000,-2.006,15.750,18.000,205.000,-6.500,0.000
SG,Arron Afflalo,3000,Sac@Chi 09:00PM ET,12.379,SAC,0,0,10.536,6.706,12.250,0.000,-3.262,14.000,18.000,205.000,6.500,21.750
SG,Ben McLemore,3000,Sac@Chi 09:00PM ET,8.485,SAC,0,0,9.929,2.554,1.312,0.000,-2.236,14.000,18.000,205.000,6.500,0.000
SG,Malachi Richardson,3000,Sac@Chi 09:00PM ET,4.607,SAC,0,0,4.700,1.450,3.125,0.000,-1.214,14.000,18.000,205.000,6.500,5.500
SF,Paul Zipser,3000,Sac@Chi 09:00PM ET,4.982,CHI,1,0,4.083,1.688,10.938,0.000,-449.693,11.000,18.000,205.000,-6.500,18.500
PF,Bobby Portis,3000,Sac@Chi 09:00PM ET,9.858,CHI,1,0,7.643,5.361,10.375,0.000,-2.598,23.500,18.000,205.000,-6.500,0.000
PF,Skal Labissiere,3000,Sac@Chi 09:00PM ET,5.450,SAC,0,0,5.812,2.250,3.875,0.000,-1.436,17.500,18.000,205.000,6.500,0.000
C,Kosta Koufos,3000,Sac@Chi 09:00PM ET,15.851,SAC,0,0,21.821,10.457,13.125,0.000,-1430.767,9.000,18.000,205.000,6.500,20.000
C,Willie Cauley-Stein,3000,Sac@Chi 09:00PM ET,8.450,SAC,0,0,6.893,3.587,4.125,0.845,-762.727,9.000,18.000,205.000,6.500,12.000
C,Cristiano Felicio,3000,Sac@Chi 09:00PM ET,12.160,CHI,1,0,17.964,6.737,10.188,0.000,-1106.820,11.000,18.000,205.000,-6.500,17.000
PG,Randy Foye,3000,Bkn@Cha 07:00PM ET,11.897,BKN,0,0,14.429,7.031,17.500,0.000,-1.281,19.000,18.000,221.500,12.000,22.500
PG,Brian Roberts,3000,Bkn@Cha 07:00PM ET,3.229,CHA,1,0,2.500,0.542,2.375,0.000,-0.348,30.000,18.000,221.500,-12.000,0.000
SF,Joe Harris,3000,Bkn@Cha 07:00PM ET,15.806,BKN,0,1,17.179,9.816,14.312,0.000,-1582.144,19.500,18.000,221.500,12.000,0.000
SF,Treveon Graham,3000,Bkn@Cha 07:00PM ET,3.232,CHA,1,0,3.357,0.929,2.125,0.000,-0.348,30.000,18.000,221.500,-12.000,0.000
PF/C,Luis Scola,3000,Bkn@Cha 07:00PM ET,12.532,BKN,0,0,12.286,6.446,12.562,1.253,-1.350,17.500,18.000,221.500,12.000,0.000
PF,Quincy Acy,3000,Bkn@Cha 07:00PM ET,7.682,BKN,0,0,8.000,3.607,14.562,0.000,-692.207,10.000,18.000,221.500,12.000,28.000
C,Roy Hibbert,3000,Bkn@Cha 07:00PM ET,13.188,CHA,1,0,13.036,8.537,14.125,0.000,-1.420,30.000,18.000,221.500,-12.000,2.000
PG,Bobby Brown,3000,Hou@Mem 08:00PM ET,1.688,HOU,0,0,1.071,0.583,3.750,0.000,-151.860,7.000,18.000,215.500,-1.500,0.000
PG,Tyler Ennis,3000,Hou@Mem 08:00PM ET,4.654,HOU,0,0,5.143,1.600,2.062,0.000,-418.694,7.000,18.000,215.500,-1.500,-0.500
PG,Wade Baldwin IV,3000,Hou@Mem 08:00PM ET,9.402,MEM,1,0,9.214,3.327,3.125,0.000,-845.845,9.000,18.000,215.500,1.500,0.000
SG/SF,Corey Brewer,3000,Hou@Mem 08:00PM ET,9.810,HOU,0,0,10.429,6.080,11.250,0.000,-882.550,4.500,18.000,215.500,-1.500,17.750
SG,Troy Daniels,3000,Hou@Mem 08:00PM ET,14.159,MEM,1,1,11.643,5.368,6.188,0.000,-1431.596,26.500,18.000,215.500,1.500,0.000
SG,Troy Williams,3000,Hou@Mem 08:00PM ET,10.720,MEM,1,0,12.964,2.729,4.188,0.000,-9.596,26.500,18.000,215.500,1.500,0.000
SF,K.J. McDaniels,3000,Hou@Mem 08:00PM ET,5.688,HOU,0,0,3.536,2.033,3.062,0.000,-511.717,6.000,18.000,215.500,-1.500,3.250
PF/C,Jarell Martin,3000,Hou@Mem 08:00PM ET,10.128,MEM,1,0,8.714,4.631,4.375,0.000,-7.134,18.750,18.000,215.500,1.500,2.750
PF,Kyle Wiltjer,3000,Hou@Mem 08:00PM ET,2.306,HOU,0,0,1.042,0.375,1.000,0.000,-207.458,5.000,18.000,215.500,-1.500,0.000
PF,Deyonta Davis,3000,Hou@Mem 08:00PM ET,5.670,MEM,1,0,6.500,2.000,4.500,0.000,0.202,15.500,18.000,215.500,1.500,2.500
SG/SF,Rodney McGruder,3000,Mil@Mia 07:30PM ET,13.962,MIA,1,0,12.250,7.721,12.250,0.000,-0.755,22.500,18.000,206.000,-1.500,11.000
SG,Jason Terry,3000,Mil@Mia 07:30PM ET,8.284,MIL,0,0,8.857,4.382,5.750,0.000,-746.008,4.000,18.000,206.000,1.500,0.000
SG,Rashad Vaughn,3000,Mil@Mia 07:30PM ET,7.611,MIL,0,0,5.786,2.136,6.812,0.000,-685.402,4.000,18.000,206.000,1.500,2.000
PF,Josh McRoberts,3000,Mil@Mia 07:30PM ET,13.523,MIA,1,1,15.107,8.917,9.188,0.000,-1352.896,19.000,18.000,206.000,-1.500,0.000
PF,Luke Babbitt,3000,Mil@Mia 07:30PM ET,8.809,MIA,1,0,6.321,3.653,11.375,0.000,-0.477,19.000,18.000,206.000,-1.500,14.500
PF,Derrick Williams,3000,Mil@Mia 07:30PM ET,12.326,MIA,1,0,12.429,7.769,11.312,0.000,-8.427,19.000,18.000,206.000,-1.500,0.000
PF,Mirza Teletovic,3000,Mil@Mia 07:30PM ET,12.729,MIL,0,0,8.536,6.603,2.188,0.000,-1156.281,7.000,18.000,206.000,1.500,0.000
PF,Justise Winslow,3000,Mil@Mia 07:30PM ET,25.833,MIA,1,1,25.464,20.250,23.875,0.000,-2584.439,19.000,18.000,206.000,-1.500,0.000
PF,Thon Maker,3000,Mil@Mia 07:30PM ET,4.237,MIL,0,0,3.214,1.886,3.500,0.000,-381.559,7.000,18.000,206.000,1.500,9.750
C,Udonis Haslem,3000,Mil@Mia 07:30PM ET,5.679,MIA,1,0,4.208,1.321,10.750,0.000,-511.417,13.000,18.000,206.000,-1.500,0.000
C,Miles Plumlee,3000,Mil@Mia 07:30PM ET,5.681,MIL,0,0,2.536,1.618,3.188,0.000,-0.307,18.000,18.000,206.000,1.500,0.000
PG,Bryn Forbes,3000,SA@Cle 08:30PM ET,1.483,SA,0,0,0.643,0.114,0.812,0.000,-0.003,18.000,18.000,211.500,2.500,0.000
PG,Kay Felder,3000,SA@Cle 08:30PM ET,9.375,CLE,1,0,10.179,4.150,5.375,0.000,-843.770,5.000,18.000,211.500,-2.500,0.000
SG,James Jones,3000,SA@Cle 08:30PM ET,4.971,CLE,1,0,5.821,1.422,7.312,0.000,-0.011,23.000,18.000,211.500,-2.500,0.000
SG,DeAndre Liggins,3000,SA@Cle 08:30PM ET,9.152,CLE,1,0,9.286,3.350,5.875,0.000,-0.020,23.000,18.000,211.500,-2.500,9.750
SG,Jordan McRae,3000,SA@Cle 08:30PM ET,7.929,CLE,1,0,10.071,2.683,3.062,0.000,-6.180,23.000,18.000,211.500,-2.500,0.000
SG,Kyle Anderson,3000,SA@Cle 08:30PM ET,8.459,SA,0,0,9.179,3.885,4.500,0.000,-6.508,28.000,18.000,211.500,2.500,20.500
SF/PF,Richard Jefferson,3000,SA@Cle 08:30PM ET,10.226,CLE,1,0,14.643,5.977,11.750,0.000,-920.362,2.250,18.000,211.500,-2.500,7.750
SF/PF,Davis Bertans,3000,SA@Cle 08:30PM ET,6.950,SA,0,0,0.929,2.250,5.438,0.000,-0.015,20.500,18.000,211.500,2.500,0.000
C,Chris Andersen,3000,SA@Cle 08:30PM ET,7.979,CLE,1,1,8.714,4.607,8.312,0.000,-797.837,3.000,18.000,211.500,-2.500,0.000
PG/SG,Leandro Barbosa,3000,Pho@NY 07:30PM ET,10.305,PHO,0,0,11.500,4.464,6.250,0.000,-6.859,20.000,18.000,222.500,5.500,0.000
PG,Tyler Ulis,3000,Pho@NY 07:30PM ET,6.907,PHO,0,0,4.786,3.347,3.562,0.000,0.703,15.000,18.000,222.500,5.500,2.000
SG,Sasha Vujacic,3000,Pho@NY 07:30PM ET,5.728,NY,1,0,7.857,1.000,8.875,0.000,0.583,15.000,18.000,222.500,-5.500,0.000
SF/PF,Lance Thomas,3000,Pho@NY 07:30PM ET,9.150,NY,1,1,10.964,5.375,7.562,0.000,-918.687,22.500,18.000,222.500,-5.500,0.000
SF/PF,Dragan Bender,3000,Pho@NY 07:30PM ET,8.221,PHO,0,0,13.036,3.773,11.375,0.000,0.837,17.500,18.000,222.500,5.500,0.750
PF,Jared Dudley,3000,Pho@NY 07:30PM ET,16.858,PHO,0,1,12.786,11.000,7.750,0.000,-1697.356,21.000,18.000,222.500,5.500,0.000
PF,Maurice Ndour,3000,Pho@NY 07:30PM ET,5.176,NY,1,0,3.964,2.714,5.000,0.000,0.527,20.000,18.000,222.500,-5.500,0.000
C,Marshall Plumlee,3000,Pho@NY 07:30PM ET,7.900,NY,1,0,2.250,1.500,9.562,0.000,0.804,24.000,18.000,222.500,-5.500,0.000
C,Alan Williams,3000,Pho@NY 07:30PM ET,9.250,PHO,0,0,16.429,3.000,3.750,0.000,0.941,26.000,18.000,222.500,5.500,0.000
PG/SG,Rodney Stuckey,3000,Ind@Uta 09:00PM ET,15.794,IND,0,1,17.357,8.306,14.625,0.000,-1599.343,3.500,18.000,200.000,7.500,0.000
PG,Aaron Brooks,3000,Ind@Uta 09:00PM ET,12.083,IND,0,0,14.964,7.523,13.250,0.000,-1091.225,6.000,18.000,200.000,7.500,3.000
PG,Raul Neto,3000,Ind@Uta 09:00PM ET,5.728,UTA,1,0,6.714,1.500,7.625,0.000,-1.780,16.500,18.000,200.000,-7.500,2.500
PG,Dante Exum,3000,Ind@Uta 09:00PM ET,11.656,UTA,1,0,12.643,5.385,6.125,0.000,-10.824,16.500,18.000,200.000,-7.500,0.000
SG,Alec Burks,3000,Ind@Uta 09:00PM ET,5.156,UTA,1,0,10.500,0.375,7.750,0.000,-1.602,26.500,18.000,200.000,-7.500,21.500
SG,Joe Young,3000,Ind@Uta 09:00PM ET,4.875,IND,0,0,9.071,0.479,2.188,0.000,-440.265,1.000,18.000,200.000,7.500,0.000
PF/C,Boris Diaw,3000,Ind@Uta 09:00PM ET,10.707,UTA,1,0,8.536,5.773,14.438,0.000,-3.327,22.500,18.000,200.000,-7.500,15.750
PF/C,Kevin Seraphin,3000,Ind@Uta 09:00PM ET,10.020,IND,0,0,8.571,4.214,8.938,0.000,-904.914,1.500,18.000,200.000,7.500,1.250
PF,Rakeem Christmas,3000,Ind@Uta 09:00PM ET,3.417,IND,0,0,1.375,1.375,3.417,0.000,-308.592,1.000,18.000,200.000,7.500,0.000
PF,Georges Niang,3000,Ind@Uta 09:00PM ET,2.444,IND,0,0,2.036,0.568,2.000,0.000,-220.720,1.000,18.000,200.000,7.500,0.000
PF,Joel Bolomboy,3000,Ind@Uta 09:00PM ET,2.833,UTA,1,0,1.938,1.050,2.812,0.000,-0.880,28.000,18.000,200.000,-7.500,0.000
PF,Trey Lyles,3000,Ind@Uta 09:00PM ET,16.585,UTA,1,0,17.679,9.800,9.938,0.000,-5.154,28.000,18.000,200.000,-7.500,12.000
C,Lavoy Allen,3000,Ind@Uta 09:00PM ET,6.573,IND,0,0,3.964,3.639,2.312,0.000,-593.613,2.000,18.000,200.000,7.500,1.250
C,Jeff Withey,3000,Ind@Uta 09:00PM ET,7.615,UTA,1,0,6.679,3.538,4.250,0.000,-6.449,17.000,18.000,200.000,-7.500,1.250
