Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted,FPTS
1,641653301,jmchap1982,0,251,PG Russell Westbrook SG Wesley Matthews SF Doug McDermott PF Anthony Davis C Taj Gibson F Andre Roberson G E'Twaun Moore UTIL Dirk Nowitzki,,Nikola Mirotic,47.83%,4.75
2,641680251,Rajin,0,246.5,PG Russell Westbrook SG Dwyane Wade SF Doug McDermott PF Nikola Mirotic C Steven Adams F Harrison Barnes G Buddy Hield UTIL Enes Kanter,,Dwyane Wade,47.83%,38.5
3,641614976,dddevv83,0,241.25,PG Jrue Holiday SG Victor Oladipo SF Harrison Barnes PF Anthony Davis C Donatas Motiejunas F Kristaps Porzingis G J.J. Barea UTIL Enes Kanter,,Carmelo Anthony,43.48%,27.5
4,641670153,Powerback421,0,233,PG Russell Westbrook SG E'Twaun Moore SF Nikola Mirotic PF Gorgui Dieng C Andrew Bogut F Anthony Davis G Dwyane Wade UTIL Donatas Motiejunas,,Jrue Holiday,39.13%,26
5,641647403,sacMONEY1,0,230.75,PG Deron Williams SG Zach LaVine SF Doug McDermott PF Anthony Davis C Steven Adams F Dirk Nowitzki G Victor Oladipo UTIL Nikola Mirotic,,Kristaps Porzingis,39.13%,18.5
6,641687092,matthewlaskey,0,224,PG Derrick Rose SG Dwyane Wade SF Carmelo Anthony PF Terrence Jones C Steven Adams F Anthony Davis G Deron Williams UTIL J.J. Barea,,Derrick Rose,34.78%,0
7,641671116,Brasconey,0,221.25,PG J.J. Barea SG Buddy Hield SF Carmelo Anthony PF Harrison Barnes C Donatas Motiejunas F Gorgui Dieng G Russell Westbrook UTIL Steven Adams,,Anthony Davis,34.78%,73.5
8,641639347,dwmorrell,0,215.75,PG Jrue Holiday SG Zach LaVine SF Andrew Wiggins PF Karl-Anthony Towns C Steven Adams F Doug McDermott G Victor Oladipo UTIL Taj Gibson,,J.J. Barea,30.43%,8
9,641651174,J_D_White,0,215.5,PG Russell Westbrook SG Dwyane Wade SF Carmelo Anthony PF Nikola Mirotic C Enes Kanter F Doug McDermott G Tyreke Evans UTIL Gorgui Dieng,,Russell Westbrook,30.43%,55.75
10,641658624,richard.km.tam,0,213.75,PG J.J. Barea SG Dwyane Wade SF Andrew Wiggins PF Kristaps Porzingis C Karl-Anthony Towns F Carmelo Anthony G Jrue Holiday UTIL Donatas Motiejunas,,Victor Oladipo,26.09%,22.5
11,641689661,TomOToole87,0,212,PG Derrick Rose SG Victor Oladipo SF Andre Roberson PF Taj Gibson C Steven Adams F Andrew Wiggins G Deron Williams UTIL Anthony Davis,,Enes Kanter,26.09%,41.25
12,641610731,kylearc2450,0,206.75,PG Derrick Rose SG Victor Oladipo SF Carmelo Anthony PF Nikola Mirotic C Enes Kanter F Taj Gibson G Wesley Matthews UTIL Anthony Davis,,Deron Williams,26.09%,25
13,641625775,hanselandgretel,0,202.25,PG Deron Williams SG Dwyane Wade SF Nikola Mirotic PF Gorgui Dieng C Enes Kanter F Harrison Barnes G Jrue Holiday UTIL Jimmy Butler,,Gorgui Dieng,26.09%,17.75
14,641696112,SurestMikeG7,0,201.25,PG J.J. Barea SG Dwyane Wade SF Carmelo Anthony PF Kristaps Porzingis C Karl-Anthony Towns F Tyreke Evans G Derrick Rose UTIL Jrue Holiday,,Steven Adams,26.09%,32.75
15,641614986,Davidallen00,0,198.5,PG Jrue Holiday SG Courtney Lee SF Nikola Mirotic PF Kristaps Porzingis C Karl-Anthony Towns F Carmelo Anthony G Buddy Hield UTIL Zach LaVine,,Doug McDermott,26.09%,10
15,641675650,b9chen,0,198.5,PG Russell Westbrook SG Dwyane Wade SF Nikola Mirotic PF Kristaps Porzingis C Enes Kanter F Solomon Hill G J.J. Barea UTIL Zach LaVine,,Taj Gibson,21.74%,23.75
17,641642868,austBlack,0,193.5,PG Jrue Holiday SG Dwyane Wade SF Andrew Wiggins PF Dirk Nowitzki C Gorgui Dieng F Kristaps Porzingis G Derrick Rose UTIL Harrison Barnes,,Harrison Barnes,21.74%,35.5
18,641650722,Skerbetz29,0,193.25,PG Derrick Rose SG Victor Oladipo SF Carmelo Anthony PF Gorgui Dieng C Anthony Davis F Doug McDermott G Jrue Holiday UTIL Donatas Motiejunas,,Donatas Motiejunas,21.74%,16
19,641649356,marek5050,0,188.5,PG Brandon Jennings SG Dwyane Wade SF Jimmy Butler PF Kristaps Porzingis C Robin Lopez F Karl-Anthony Towns G J.J. Barea UTIL Derrick Rose,,Karl-Anthony Towns,21.74%,62.75
20,641700672,ericchadley,0,176,PG Jrue Holiday SG Jimmy Butler SF Carmelo Anthony PF Kristaps Porzingis C Dirk Nowitzki F Nikola Mirotic G Deron Williams UTIL Tyreke Evans,,Zach LaVine,21.74%,21.5
21,641701094,cullen33,0,172.25,PG Russell Westbrook SG Dwyane Wade SF Carmelo Anthony PF Nikola Mirotic C Taj Gibson F Kyle O'Quinn G Derrick Rose UTIL Wesley Matthews,,Andrew Wiggins,21.74%,16.5
22,641683357,BadBrad420,0,132.25,PG Deron Williams SG Zach LaVine SF Nikola Mirotic PF Kristaps Porzingis C Joakim Noah F Andrew Wiggins G Wesley Matthews UTIL Jimmy Butler,,Wesley Matthews,17.39%,13.5
23,641627545,ReidBolin13,0,0,,,Jimmy Butler,17.39%,13.5
,,,,,,,Dirk Nowitzki,17.39%,40.75
,,,,,,,Buddy Hield,13.04%,28
,,,,,,,Tyreke Evans,13.04%,20
,,,,,,,Andre Roberson,8.70%,18
,,,,,,,E'Twaun Moore,8.70%,15.75
,,,,,,,Courtney Lee,4.35%,9.5
,,,,,,,Brandon Jennings,4.35%,37.25
,,,,,,,Robin Lopez,4.35%,10
,,,,,,,Andrew Bogut,4.35%,11
,,,,,,,Solomon Hill,4.35%,10.25
,,,,,,,Joakim Noah,4.35%,19
,,,,,,,Terrence Jones,4.35%,18.75
,,,,,,,Kyle O'Quinn,4.35%,8.5
